eid,mid,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL,fid_1,height_1,weight_1,country_1,Height_1,Weight_1,Reach_1,Stance_1,SLpM_1,Str. Acc_1,SApM_1,Str. Def_1,TD Avg_1,TD Acc_1,TD Def_1,Sub. Avg_1,Metrictst_1,fid_2,height_2,weight_2,country_2,Height_2,Weight_2,Reach_2,Stance_2,SLpM_2,Str. Acc_2,SApM_2,Str. Def_2,TD Avg_2,TD Acc_2,TD Def_2,Sub. Avg_2,Metrictst_2,f1Age,f2Age
8,5,3/11/94,Orlando Wiet,Robert Lucarelli,win,loss,31,32,TKO,1,2:50,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,70,170,France,70,170,,Southpaw,0,0,0,0,0,0,0,0,0,32,74,245,United States,74,245,,,0,0,0,0,0,0,0,0,0,28.37782341,
8,4,3/11/94,Thaddeus Luster,Frank Hamaker,loss,win,30,29,TKO,1,4:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,75,200,United States,75,210,,,0,0,0,0,0,0,0,0,0,29,74,245,Netherlands,,,,,0,0,0,0,0,0,0,0,0,,
8,3,3/11/94,David Levicki,Johnny Rhodes,loss,win,28,27,Submission,1,12:13,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,28,77,290,United States,77,275,,,0,0,0,0,0,0,0,0,0,27,72,210,United States,72,210,,Orthodox,0,0,0,0,0,0,0,0,0,,
8,2,3/11/94,Patrick Smith,Ray Wizard,win,loss,21,26,Submission,1,0:58,4,2,2,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,21,74,225,United States,74,225,,Orthodox,0,0,0,0,0,0,0,0,0,26,,,United States,,,,,0,0,0,0,0,0,0,0,0,30.65297741,
8,1,3/11/94,Scott Morris,Sean Daugherty,win,loss,24,25,Submission,1,0:20,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,72,210,United States,70,210,,Orthodox,0,0,0,0,0,0,0,0,0,25,70,190,United States,72,175,,,0,0,0,0,0,0,0,0,0,,18.26694045
9,6,9/9/94,Steve Jennum,Harold Howard,win,loss,44,41,Submission,1,1:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,70,215,United States,70,215,,Orthodox,0,0,0,0,0,0,0,0,0,41,74,240,Canada,74,240,,Orthodox,0,0,0,0,0,0,0,0,0,,
9,4,9/9/94,Kimo Leopoldo,Royce Gracie,loss,win,43,19,Submission,1,4:40,0,0,0,0,0,7,7,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,43,75,235,United States,75,235,,Orthodox,0.76,0.83,2.12,0.3,4.55,1,0,2.3,11.86,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,26.68035592,27.74264203
9,4,9/9/94,Kimo Leopoldo,Royce Gracie,loss,win,43,19,Submission,1,4:40,0,0,0,0,0,7,7,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,43,75,235,United States,75,235,,Orthodox,0.76,0.83,2.12,0.3,4.55,1,0,2.3,11.86,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,26.68035592,27.74264203
9,3,9/9/94,Harold Howard,Roland Payne,win,loss,41,42,KO,1,0:46,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,74,240,Canada,74,240,,Orthodox,0,0,0,0,0,0,0,0,0,42,69,205,United States,69,205,,Orthodox,0,0,0,0,0,0,0,0,0,,30.14921287
9,2,9/9/94,Christophe Leninger,Ken Shamrock,loss,win,40,4,Submission,1,4:49,0,0,0,0,0,3,2,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,40,72,200,United States,72,200,,Southpaw,0,0,0,0,0,0,0,0,0,4,73,212,United States,73,205,72,Orthodox,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,11.1,32.15058179,30.57631759
9,1,9/9/94,Keith Hackney,Emmanuel Yarborough,win,loss,38,39,TKO,1,1:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,71,200,United States,71,200,,Sideways,0,0,0,0,0,0,0,0,0,39,80,600,United States,80,770,,Open Stance,0,0,0,0,0,0,0,0,0,36.40246407,30.00958248
10,10,12/16/94,Royce Gracie,Dan Severn,win,loss,19,52,Submission,1,15:49,8,8,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,52,74,253,United States,74,250,,Southpaw,0,0,0,0,0,0,0,0,0,28.0109514,36.5229295
10,10,12/16/94,Royce Gracie,Dan Severn,win,loss,19,52,Submission,1,15:49,8,8,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,52,74,253,United States,74,250,,Southpaw,0,0,0,0,0,0,0,0,0,28.0109514,36.5229295
10,9,12/16/94,Jason Fairn,Guy Mezger,loss,win,48,14,TKO,1,2:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,73,230,Canada,73,230,,,0,0,0,0,0,0,0,0,0,14,73,200,United States,73,200,,Orthodox,2.3,0.32,1.36,0.72,0.39,0.5,0.88,0,6.47,21.41820671,26.95687885
10,8,12/16/94,Dan Severn,Marcus Bossett,win,loss,52,54,Submission,1,0:52,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,74,253,United States,74,250,,Southpaw,0,0,0,0,0,0,0,0,0,54,73,220,United States,73,215,,Orthodox,0,0,0,0,0,0,0,0,0,36.5229295,
10,7,12/16/94,Royce Gracie,Keith Hackney,win,loss,19,38,Submission,1,5:32,9,9,0,9,0,1,1,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,38,71,200,United States,71,200,,Sideways,0,0,0,0,0,0,0,0,0,28.0109514,36.67077344
10,7,12/16/94,Royce Gracie,Keith Hackney,win,loss,19,38,Submission,1,5:32,9,9,0,9,0,1,1,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,38,71,200,United States,71,200,,Sideways,0,0,0,0,0,0,0,0,0,28.0109514,36.67077344
10,6,12/16/94,Dan Severn,Anthony Macias,win,loss,52,53,Submission,1,1:45,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,52,74,253,United States,74,250,,Southpaw,0,0,0,0,0,0,0,0,0,53,70,170,United States,69,185,,Switch,0,0,0,0,0,0,0,0,0,36.5229295,25.41820671
10,5,12/16/94,Steve Jennum,Melton Bowen,win,loss,44,51,Submission,1,4:47,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,70,215,United States,70,215,,Orthodox,0,0,0,0,0,0,0,0,0,51,72,225,United States,72,225,,Orthodox,0,0,0,0,0,0,0,0,0,,25.76865161
10,4,12/16/94,Joe Son,Keith Hackney,loss,win,50,38,Submission,1,2:44,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,50,64,236,United States,64,236,,Orthodox,0,0,0,0,0,0,0,0,0,38,71,200,United States,71,200,,Sideways,0,0,0,0,0,0,0,0,0,24.07118412,36.67077344
10,3,12/16/94,Royce Gracie,Ron van Clief,win,loss,19,49,Submission,1,3:59,10,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,49,70,190,United States,70,190,,Orthodox,0,0,0,0,0,0,0,0,0,28.0109514,
10,3,12/16/94,Royce Gracie,Ron van Clief,win,loss,19,49,Submission,1,3:59,10,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,49,70,190,United States,70,190,,Orthodox,0,0,0,0,0,0,0,0,0,28.0109514,
10,1,12/16/94,Joe Charles,Kevin Rosier,win,loss,46,17,Submission,1,0:14,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,46,73,260,United States,73,260,,Southpaw,0,0,0,0,0,0,0,0,0,17,76,265,United States,76,275,,Orthodox,0,0,0,0,0,0,0,0,0,36.41889117,32.94182067
11,10,4/7/95,Dan Severn,Dave Beneteau,win,loss,52,56,Submission,1,3:01,3,2,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,52,74,253,United States,74,250,,Southpaw,0,0,0,0,0,0,0,0,0,56,74,250,Canada,74,250,,Orthodox,0,0,0,0,0,0,0,0,0,36.82956879,26.72416153
11,9,4/7/95,Royce Gracie,Ken Shamrock,draw,draw,19,4,Draw,1,36:00:00,11,11,0,11,0,4,3,1,3,0,11,0,0,0,0,0,3,0,0,1,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,4,73,212,United States,73,205,72,Orthodox,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,11.1,28.31759069,31.15126626
11,9,4/7/95,Royce Gracie,Ken Shamrock,draw,draw,19,4,Draw,1,36:00:00,11,11,0,11,0,4,3,1,3,0,11,0,0,0,0,0,3,0,0,1,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,4,73,212,United States,73,205,72,Orthodox,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,11.1,28.31759069,31.15126626
11,8,4/7/95,Dan Severn,Oleg Taktarov,win,loss,52,47,TKO,1,4:21,4,3,1,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,52,74,253,United States,74,250,,Southpaw,0,0,0,0,0,0,0,0,0,47,72,210,Russia,72,210,,Orthodox,0,0,0,0,0,0,0,0,0,36.82956879,27.61396304
11,7,4/7/95,Dave Beneteau,Todd Medina,win,loss,56,61,TKO,1,2:12,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56,74,250,Canada,74,250,,Orthodox,0,0,0,0,0,0,0,0,0,61,70,205,United States,70,193,,Southpaw,0,0,0,0,0,0,0,0,0,26.72416153,24.93634497
11,6,4/7/95,Dan Severn,Joe Charles,win,loss,52,46,Submission,1,1:38,5,4,1,4,0,1,1,0,1,0,3,1,0,1,0,0,1,0,0,0,0,0,52,74,253,United States,74,250,,Southpaw,0,0,0,0,0,0,0,0,0,46,73,260,United States,73,260,,Southpaw,0,0,0,0,0,0,0,0,0,36.82956879,36.72553046
11,5,4/7/95,Oleg Taktarov,Ernie Verdicia,win,loss,47,63,Submission,1,2:23,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,72,210,Russia,72,210,,Orthodox,0,0,0,0,0,0,0,0,0,63,70,219,United States,71,199,,Orthodox,0,0,0,0,0,0,0,0,0,27.61396304,
11,4,4/7/95,Todd Medina,Larry Cureton,win,loss,61,62,TKO,1,2:55,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61,70,205,United States,70,193,,Southpaw,0,0,0,0,0,0,0,0,0,62,74,248,United States,74,240,,Orthodox,0,0,0,0,0,0,0,0,0,24.93634497,
11,3,4/7/95,Jon Hess,Andy Anderson,win,loss,59,60,TKO,1,1:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,79,295,United States,79,295,,,0,0,0,0,0,0,0,0,0,60,69,240,United States,66,240,,,0,0,0,0,0,0,0,0,0,,30.72416153
11,2,4/7/95,Guy Mezger,John Dowdy,win,loss,14,58,TKO,1,2:02,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,73,200,United States,73,200,,Orthodox,2.3,0.32,1.36,0.72,0.39,0.5,0.88,0,6.47,58,,,United States,,,,,0,0,0,0,0,0,0,0,0,27.26351814,
12,10,7/14/95,David Abbott,Oleg Taktarov,loss,win,110,47,Submission,1,17:45,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,110,72,250,United States,72,265,,Switch,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0,7.64,47,72,210,Russia,72,210,,Orthodox,0,0,0,0,0,0,0,0,0,30.21492129,27.88227242
12,9,7/14/95,Ken Shamrock,Dan Severn,win,loss,4,52,Submission,1,2:14,5,3,1,0,0,6,5,1,5,0,3,0,0,1,0,0,4,1,0,1,0,0,4,73,212,United States,73,205,72,Orthodox,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,11.1,52,74,253,United States,74,250,,Southpaw,0,0,0,0,0,0,0,0,0,31.41957563,37.09787817
12,8,7/14/95,Anthony Macias,Oleg Taktarov,loss,win,53,47,Submission,1,0:09,1,0,1,0,1,3,2,1,2,0,0,0,0,1,0,0,2,0,0,0,1,0,53,70,170,United States,69,185,,Switch,0,0,0,0,0,0,0,0,0,47,72,210,Russia,72,210,,Orthodox,0,0,0,0,0,0,0,0,0,25.99315537,27.88227242
