,eid,mid,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL,fid_1,height_1,weight_1,country_1,Height_1,Weight_1,Reach_1,Stance_1,SLpM_1,Str. Acc_1,SApM_1,Str. Def_1,TD Avg_1,TD Acc_1,TD Def_1,Sub. Avg_1,Metrictst_1,fid_2,height_2,weight_2,country_2,Height_2,Weight_2,Reach_2,Stance_2,SLpM_2,Str. Acc_2,SApM_2,Str. Def_2,TD Avg_2,TD Acc_2,TD Def_2,Sub. Avg_2,Metrictst_2,f1Age,f2Age,result,Age,Reach,weight,height,fightdif,windif,lossdif,subdif,KOdif,Decdif,subldif,KOldif,Decldif,subavg,decexp,subexp,KOexp
1861,20355,11,7/7/12,Chael Sonnen,Anderson Silva,loss,win,4112,1356,TKO,2,1:55,10,6,4,2,0,14,14,0,14,0,1,0,5,4,0,0,3,9,2,0,0,0,4112,73.0,205.0,United States,73.0,205.0,74.0,Southpaw,3.08,0.43,1.1,0.62,3.81,0.59,0.66,0.4,10.69,1356,74.0,185.0,Brazil,74.0,185.0,77.0,Southpaw,3.1,0.63,1.87,0.62,0.55,0.77,0.69,0.9,9.13,35.26078029,37.23203285,0,-1.9712525600000035,-3.0,20.0,-1.0,-4,-8,4,-2,-9,3,4,0,0,-0.5,3,-6,-9
1637,17391,3,10/8/11,Darren Elkins,Tiequan Zhang,win,loss,22094,16984,Decision,3,5:00,3,2,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,22094,70.0,145.0,United States,70.0,145.0,71.0,Orthodox,3.04,0.36,2.08,0.57,2.77,0.37,0.4,1.5,11.09,16984,69.0,145.0,China,68.0,155.0,70.0,Orthodox,1.23,0.36,2.14,0.51,1.95,0.58,0.75,3.4,10.92,27.39493498,33.20465435,1,-5.80971937,1.0,0.0,1.0,2,1,1,-1,1,1,1,0,0,-1.9,1,-2,1
2243,28701,9,8/31/13,Ben Rothwell,Brandon Vera,win,loss,2262,4886,TKO,3,1:54,5,2,3,0,1,15,8,6,0,1,0,1,1,1,1,1,1,4,3,0,3,3,2262,76.0,263.0,United States,76.0,265.0,78.0,Orthodox,2.89,0.41,3.92,0.46,0.84,0.36,0.69,0.4,9.97,4886,74.0,205.0,United States,75.0,230.0,76.0,Orthodox,3.03,0.56,2.81,0.52,0.7,0.53,0.59,0.2,8.94,31.87132101,35.89048597,1,-4.019164960000001,2.0,58.0,2.0,-10,-6,-3,-1,-3,-2,1,-2,-2,0.2,0,-2,-1
1594,16967,9,8/14/11,Duane Ludwig,Amir Sadollah,win,loss,101,34071,Decision,3,5:00,5,3,2,1,0,7,5,2,2,0,0,1,2,1,1,0,2,0,3,0,1,1,101,70.0,170.0,United States,70.0,170.0,70.0,Orthodox,4.61,0.44,3.04,0.57,0.43,0.25,0.59,0.1,10.03,34071,71.0,170.0,United States,70.0,170.0,74.0,Orthodox,4.71,0.46,3.55,0.6,0.57,0.27,0.6,0.3,11.06,33.02669405,30.96235455,1,2.0643395000000027,-4.0,0.0,-1.0,-2,-2,0,-2,1,-1,1,0,-1,-0.19999999999999998,0,-3,1
2968,42199,5,5/23/15,Dong Hyun Kim,Joshua Burkman,win,loss,16374,10003,Submission,3,2:13,14,10,3,0,1,11,5,5,0,0,0,3,7,0,3,0,1,1,3,2,0,3,16374,73.0,170.0,South Korea,74.0,170.0,76.0,Southpaw,2.19,0.49,1.79,0.59,3.01,0.43,0.8,0.7,10.0,10003,70.0,155.0,United States,70.0,155.0,72.0,Orthodox,2.69,0.43,3.1,0.51,2.6,0.37,0.72,0.3,10.72,33.51129363,34.63107461,1,-1.1197809800000016,4.0,15.0,3.0,3,5,-2,-1,2,4,-2,3,-3,0.39999999999999997,7,1,-1
1453,15202,7,2/27/11,Spencer Fisher,Ross Pearson,loss,win,5118,11884,Decision,3,5:00,14,9,5,1,0,4,3,1,0,1,2,3,4,1,1,3,0,1,2,1,0,0,5118,67.0,155.0,United States,67.0,155.0,70.0,Southpaw,3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8,9.64,11884,68.0,155.0,England,68.0,155.0,69.0,Orthodox,3.54,0.41,3.57,0.64,0.86,0.38,0.75,0.0,10.15,34.80355921,26.420260100000004,0,8.38329911,1.0,0.0,-1.0,10,6,4,2,2,2,0,1,3,0.8,-1,2,1
2588,36085,2,5/10/14,Justin Salas,Ben Wall,win,loss,16180,78164,KO,1,2:21,4,2,2,0,1,1,0,1,0,1,0,0,2,1,1,0,0,0,0,0,1,0,16180,68.0,155.0,United States,68.0,155.0,70.0,Southpaw,3.42,0.43,2.96,0.68,2.43,0.2,0.0,0.0,10.12,78164,70.0,154.0,Australia,70.0,155.0,73.0,Orthodox,1.47,0.29,8.53,0.29,0.0,0.0,1.0,0.0,11.58,32.15879535,25.12525667,1,7.0335386799999995,-3.0,1.0,-2.0,3,2,1,0,0,2,1,0,0,0.0,2,-1,0
2676,37549,7,11/15/14,Hector Urbina,Edgar Garcia,win,loss,18168,23108,Submission,1,3:38,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,18168,72.0,170.0,United States,71.0,170.0,73.0,Orthodox,0.97,0.38,2.44,0.39,0.0,0.0,0.38,3.8,8.36,23108,70.0,170.0,United States,70.0,170.0,71.0,Orthodox,3.16,0.29,4.23,0.6,2.21,0.57,0.5,0.6,12.16,27.16221766,30.72963723,1,-3.567419570000002,2.0,0.0,2.0,-2,0,-2,0,0,0,-1,0,-1,3.1999999999999997,1,1,0
3107,42229,6,9/5/15,Paul Felder,Ross Pearson,loss,win,68205,11884,Decision,3,5:00,3,2,1,0,1,16,9,6,0,1,0,1,1,0,0,1,0,5,4,1,2,3,68205,70.0,155.0,United States,71.0,155.0,70.0,Orthodox,3.4,0.4,3.06,0.52,0.46,0.37,0.62,0.5,9.33,11884,68.0,155.0,England,68.0,155.0,69.0,Orthodox,3.54,0.41,3.57,0.64,0.86,0.38,0.75,0.0,10.15,30.36276523,30.94045175,0,-0.5776865200000003,1.0,0.0,2.0,-13,-7,-5,0,-4,-3,-1,-2,-2,0.5,-1,1,-2
2089,26215,10,7/27/13,Robbie Lawler,Bobby Voelker,win,loss,2245,15156,KO,2,0:24,8,5,3,1,0,1,0,1,0,1,0,3,2,2,1,0,0,0,0,0,0,1,2245,71.0,170.0,United States,71.0,170.0,74.0,Southpaw,3.49,0.44,3.69,0.62,0.82,0.68,0.67,0.0,10.41,15156,72.0,171.0,United States,72.0,170.0,75.0,Orthodox,4.01,0.35,5.84,0.42,1.04,0.5,0.66,0.0,12.82,31.35386721,34.2532512,1,-2.8993839900000005,-1.0,-1.0,-1.0,7,5,2,0,3,2,2,1,-1,0.0,3,-2,2
