,eid,mid,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL,fid_1,height_1,weight_1,country_1,Height_1,Weight_1,Reach_1,Stance_1,SLpM_1,Str. Acc_1,SApM_1,Str. Def_1,TD Avg_1,TD Acc_1,TD Def_1,Sub. Avg_1,Metrictst_1,fid_2,height_2,weight_2,country_2,Height_2,Weight_2,Reach_2,Stance_2,SLpM_2,Str. Acc_2,SApM_2,Str. Def_2,TD Avg_2,TD Acc_2,TD Def_2,Sub. Avg_2,Metrictst_2,f1Age,f2Age,result,Age,Reach,weight,height,fightdif,windif,lossdif,subdif,KOdif,Decdif,subldif,KOldif,Decldif,subavg,decexp,subexp,KOexp
1758,19187,7,2/15/12,Ronny Markes,Aaron Simpson,win,loss,21175,24986,Decision,3,5:00,1,1,0,1,0,8,6,2,3,0,0,0,1,0,0,0,0,2,4,0,1,1,21175,73.0,190.0,Brazil,73.0,185.0,75.0,Orthodox,2.17,0.53,2.43,0.45,3.13,0.4,1.0,0.5,10.61,24986,72.0,170.0,United States,72.0,170.0,73.0,Orthodox,3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5,12.66,23.81930185,37.5742642,1,-13.754962350000003,2.0,20.0,1.0,-7,-5,-2,0,-2,-3,0,-1,-1,0.0,-2,0,-1
2413,33335,1,1/25/14,Nikita Krylov,Walt Harris,win,loss,110937,72046,TKO,1,0:25,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,110937,75.0,205.0,Ukraine,75.0,205.0,77.0,Orthodox,6.55,0.6,2.87,0.45,0.37,0.16,0.42,1.8,13.22,72046,76.0,241.0,United States,77.0,250.0,77.0,Southpaw,2.62,0.36,3.08,0.62,0.0,0.0,0.8,0.3,7.78,21.88637919,30.62833676,1,-8.74195757,0.0,-36.0,-1.0,0,0,0,0,0,0,0,1,-1,1.5,1,0,-1
1190,11118,2,12/12/09,DaMarques Johnson,Edgar Garcia,win,loss,12913,23108,Submission,1,4:03,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,12913,72.0,170.0,United States,73.0,170.0,75.0,Orthodox,2.11,0.37,3.75,0.51,1.18,0.55,0.19,0.7,9.36,23108,70.0,170.0,United States,70.0,170.0,71.0,Orthodox,3.16,0.29,4.23,0.6,2.21,0.57,0.5,0.6,12.16,27.45790554,25.80424367,1,1.653661869999997,4.0,0.0,2.0,0,0,0,0,0,0,1,0,-1,0.09999999999999998,1,-1,0
1994,23527,3,10/13/12,Sergio Moraes,Renee Forte,win,loss,21343,37684,Submission,3,3:10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21343,72.0,170.0,Brazil,72.0,170.0,72.0,Orthodox,2.32,0.45,2.72,0.65,1.16,0.3,0.75,0.4,8.75,37684,68.0,156.0,Brazil,67.0,155.0,71.0,Orthodox,2.08,0.32,2.12,0.63,2.32,0.58,0.66,0.0,8.71,30.22587269,25.54962355,1,4.6762491399999995,1.0,14.0,4.0,1,0,1,0,0,0,0,0,1,0.4,-1,0,0
2853,41773,3,1/18/15,Sean Soriano,Charles Rosa,loss,win,61682,71116,Submission,3,4:43,2,0,2,0,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,61682,69.0,145.0,United States,69.0,145.0,70.0,Orthodox,3.15,0.61,2.31,0.52,1.27,0.42,0.55,0.0,8.83,71116,70.0,145.0,United States,69.0,145.0,69.0,Switch,3.18,0.37,3.52,0.5,3.27,0.38,0.5,1.3,13.02,25.28405202,28.40246407,0,-3.11841205,1.0,0.0,-1.0,1,0,1,0,0,0,1,0,0,-1.3,0,-1,0
2909,42187,3,4/4/15,Alexander Yakovlev,Gray Maynard,win,loss,10846,15835,Decision,3,5:00,2,0,2,0,2,15,9,4,0,3,0,0,0,0,0,2,0,1,8,0,4,0,10846,73.0,170.0,Russia,75.0,170.0,74.0,Southpaw,1.89,0.46,2.73,0.56,1.23,0.3,0.72,0.0,7.89,15835,68.0,155.0,United States,69.0,145.0,70.0,Orthodox,1.97,0.31,2.53,0.69,2.48,0.41,0.83,0.6,9.82,30.71047228,35.57837098,1,-4.867898700000001,4.0,15.0,5.0,-13,-9,-2,0,-1,-8,0,-4,2,-0.6,-10,0,3
2334,31869,9,10/9/13,Dong Hyun Kim,Erick Silva,win,loss,16374,15009,KO,2,3:01,11,8,2,2,0,5,3,2,1,0,0,1,7,0,2,0,2,1,0,0,0,1,16374,73.0,170.0,South Korea,74.0,170.0,76.0,Southpaw,2.19,0.49,1.79,0.59,3.01,0.43,0.8,0.7,10.0,15009,71.0,170.0,Brazil,72.0,170.0,74.0,Orthodox,2.65,0.5,4.27,0.45,1.07,0.46,0.59,1.8,11.79,31.89322382,29.30047912,1,2.592744700000001,2.0,0.0,2.0,6,5,0,-2,0,7,0,2,-1,-1.1,8,-2,-2
2555,35617,10,5/24/14,Jake Ellenberger,Robbie Lawler,loss,win,13068,2245,TKO,3,3:06,11,8,3,0,1,11,7,4,0,1,0,5,3,0,1,2,0,4,3,2,1,1,13068,69.0,170.0,United States,69.0,170.0,71.0,Orthodox,2.42,0.38,2.67,0.61,2.08,0.5,0.86,0.4,9.92,2245,71.0,170.0,United States,71.0,170.0,74.0,Southpaw,3.49,0.44,3.69,0.62,0.82,0.68,0.67,0.0,10.41,29.15537303,32.1779603,0,-3.0225872700000025,-3.0,0.0,-2.0,0,1,-1,0,1,0,-2,0,1,0.4,-1,2,1
2137,26459,12,2/16/13,Michael McDonald,Renan Barao,loss,win,30297,23156,Submission,4,3:57,4,4,0,4,0,4,4,0,4,0,0,2,2,0,0,0,1,0,3,0,0,0,30297,68.0,136.0,United States,69.0,135.0,70.0,Orthodox,2.69,0.42,2.76,0.57,1.09,0.66,0.52,1.4,10.11,23156,67.0,135.0,Brazil,66.0,145.0,70.0,Orthodox,3.64,0.34,3.5,0.6,1.46,0.43,0.97,0.6,11.54,22.08898015,26.04517454,0,-3.9561943900000003,0.0,1.0,1.0,0,0,0,-1,2,-1,0,0,0,0.7999999999999999,-1,-1,2
2320,31257,5,12/28/13,Michael Johnson,Gleison Tibau,win,loss,68788,5993,KO,2,1:32,9,5,4,1,0,20,13,7,2,0,0,2,3,2,0,2,4,1,8,1,1,5,68788,70.0,155.0,United States,70.0,155.0,73.0,Southpaw,3.77,0.35,3.74,0.58,0.58,0.53,0.79,0.1,10.44,5993,70.0,155.0,Brazil,70.0,155.0,71.0,Southpaw,1.95,0.33,2.37,0.63,4.3,0.54,0.92,0.9,11.94,27.56741958,30.46954141,1,-2.9021218300000022,2.0,0.0,0.0,-11,-8,-3,-4,1,-5,1,-1,-3,-0.8,-2,-5,2
2460,33949,4,3/15/14,Francisco Trevino,Renee Forte,win,loss,38029,37684,Decision,3,5:00,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,38029,70.0,155.0,United States,69.0,155.0,70.0,Orthodox,2.65,0.42,2.42,0.64,0.97,0.22,0.41,0.0,7.73,37684,68.0,156.0,Brazil,67.0,155.0,71.0,Orthodox,2.08,0.32,2.12,0.63,2.32,0.58,0.66,0.0,8.71,32.24093087,26.96783025,1,5.273100620000001,-1.0,-1.0,2.0,-3,-1,-2,0,0,-1,-1,-1,0,0.0,-1,1,1
1129,10333,3,10/24/09,Jorge Rivera,Rob Kimmons,win,loss,2712,9863,TKO,3,1:53,10,5,5,1,0,3,2,1,1,0,0,2,3,3,2,0,1,0,0,1,0,0,2712,73.0,185.0,United States,73.0,185.0,73.0,Orthodox,3.16,0.48,2.64,0.54,0.84,0.5,0.63,0.1,8.89,9863,70.0,170.0,United States,70.0,185.0,73.0,Orthodox,1.86,0.48,4.79,0.38,2.08,0.46,0.25,2.4,12.7,37.65366188,28.73100616,1,8.922655720000002,0.0,15.0,3.0,7,3,4,-1,2,3,2,2,0,-2.3,3,-3,0
2053,26101,3,6/8/13,Rodrigo Damm,Mizuto Hirota,win,loss,11507,12078,Decision,3,5:00,2,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,11507,67.0,145.0,Brazil,67.0,155.0,71.0,Orthodox,3.5,0.36,5.61,0.57,0.44,0.16,0.8,0.3,11.74,12078,67.0,145.0,Japan,67.0,145.0,67.0,Orthodox,3.49,0.45,3.25,0.53,2.16,0.68,0.64,0.0,11.2,33.34428474,32.09308693,1,1.2511978100000007,4.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0.3,0,1,0
2660,37359,2,7/16/14,Yosdenis Cedeno,Jerrod Sanders,win,loss,47066,48156,TKO,1,5:00,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47066,68.0,155.0,Cuba,68.0,155.0,69.0,Orthodox,1.64,0.29,1.6,0.67,0.0,0.0,0.31,0.3,4.81,48156,68.0,135.0,United States,68.0,135.0,72.0,Orthodox,0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6,7.75,29.42094456,33.78781656,1,-4.366872000000004,-3.0,20.0,0.0,1,0,1,0,0,0,0,0,1,-1.3,-1,0,0
1805,20031,10,4/21/12,Ben Rothwell,Brendan Schaub,win,loss,2262,33926,KO,1,1:10,3,1,2,0,1,6,4,2,0,1,0,0,1,0,1,1,0,3,1,0,2,0,2262,76.0,263.0,United States,76.0,265.0,78.0,Orthodox,2.89,0.41,3.92,0.46,0.84,0.36,0.69,0.4,9.97,33926,76.0,238.0,United States,76.0,245.0,78.0,Orthodox,2.92,0.37,2.22,0.57,2.32,0.46,0.72,0.4,9.98,30.51060917,29.09514031,1,1.4154688599999972,0.0,25.0,0.0,-3,-3,0,0,-3,0,0,-1,1,0.0,-1,0,-2
1146,10444,9,9/19/09,Tyson Griffin,Hermes Franca,win,loss,11689,3068,TKO,2,3:26,8,6,2,1,0,10,6,4,1,0,1,0,5,0,0,2,2,2,2,0,0,4,11689,66.0,155.0,United States,66.0,145.0,68.0,Orthodox,3.71,0.41,2.3,0.65,1.87,0.46,0.59,0.9,10.89,3068,66.0,155.0,Brazil,66.0,155.0,71.0,Orthodox,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4,10.23,25.41546886,35.06365503,1,-9.648186169999999,-3.0,0.0,0.0,-2,0,-2,-1,-2,3,0,0,-2,-1.5,5,-1,-2
2848,41773,10,1/18/15,Ron Stallings,Uriah Hall,loss,win,11950,14210,TKO,1,3:37,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,2,11950,72.0,185.0,United States,74.0,170.0,75.0,Southpaw,3.22,0.6,3.26,0.51,0.0,0.0,0.71,0.0,8.3,14210,72.0,186.0,United States,72.0,185.0,79.0,Orthodox,3.11,0.52,2.95,0.55,1.07,0.41,0.72,0.3,9.63,31.89596167,30.46680356,0,1.4291581099999995,-4.0,-1.0,0.0,-4,-2,-2,0,-1,-1,0,0,-2,-0.3,1,0,-1
1635,17391,5,10/8/11,Anthony Pettis,Jeremy Stephens,win,loss,26627,12179,Decision,3,5:00,1,0,1,0,1,12,7,5,2,0,0,0,0,0,0,1,0,4,3,2,0,3,26627,69.0,155.0,United States,70.0,145.0,72.0,Orthodox,2.62,0.42,2.69,0.57,0.78,0.52,0.6,1.1,9.3,12179,69.0,145.0,United States,68.0,145.0,71.0,Orthodox,2.79,0.42,2.58,0.6,1.34,0.36,0.64,0.5,9.23,24.6954141,25.36892539,1,-0.6735112900000004,1.0,10.0,0.0,-11,-7,-4,0,-4,-3,-2,0,-2,0.6000000000000001,-1,2,-4
1846,20203,7,5/15/12,Tom Lawlor,Jason MacDonald,win,loss,21940,4389,KO,1,0:50,6,3,3,0,1,13,6,7,0,1,0,0,2,1,0,1,4,2,0,3,3,1,21940,72.0,205.0,United States,72.0,205.0,74.0,Southpaw,2.5,0.42,2.41,0.6,2.46,0.32,0.57,1.4,10.68,4389,74.0,185.0,Canada,75.0,185.0,80.0,Orthodox,1.55,0.52,2.7,0.46,1.43,0.16,0.35,2.0,9.17,29.00205339,36.95003422,1,-7.947980829999999,-6.0,20.0,-2.0,-7,-3,-4,-4,-2,2,-2,-3,0,-0.6000000000000001,2,-2,1
2562,35617,3,5/24/14,Anthony Njokuani,Vinc Pichel,loss,win,7540,57848,Decision,3,5:00,6,3,3,1,0,2,1,1,1,0,0,1,2,0,0,3,0,0,1,0,1,0,7540,72.0,155.0,United States,73.0,155.0,75.0,Orthodox,3.94,0.46,2.41,0.65,0.5,0.45,0.53,0.2,9.14,57848,70.0,155.0,United States,70.0,155.0,72.0,Orthodox,3.13,0.51,2.51,0.51,7.44,0.69,0.16,0.5,15.45,34.22861054,31.49897331,0,2.729637229999998,3.0,0.0,2.0,4,2,2,0,1,1,0,-1,3,-0.3,-2,0,2
1250,12389,4,3/21/10,John Howard,Daniel Roberts,win,loss,11798,23999,KO,1,2:01,3,3,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,11798,67.0,171.0,United States,67.0,170.0,71.0,Orthodox,2.15,0.5,3.08,0.51,2.7,0.49,0.53,0.4,10.36,23999,70.0,170.0,United States,70.0,170.0,74.0,Southpaw,0.73,0.2,2.27,0.46,2.46,0.44,0.4,2.5,9.46,27.05544148,29.62354552,1,-2.5681040400000015,-3.0,1.0,-3.0,3,3,0,0,1,2,0,0,0,-2.1,2,0,1
1238,12184,5,4/10/10,Phil Davis,Alexander Gustafsson,win,loss,27802,26162,Submission,1,4:55,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,27802,74.0,205.0,United States,74.0,205.0,79.0,Orthodox,2.85,0.34,1.33,0.72,2.99,0.38,0.72,0.6,9.93,26162,76.0,205.0,Sweden,77.0,205.0,79.0,Orthodox,4.12,0.4,3.63,0.5,1.93,0.4,0.86,0.6,12.44,25.53867214,23.23340178,1,2.305270359999998,0.0,0.0,-2.0,0,0,0,0,-1,1,0,0,0,0.0,1,0,-1
3228,47669,8,12/10/15,Tim Means,John Howard,win,loss,11281,11798,KO,2,0:21,10,6,4,0,1,13,7,6,1,0,1,2,3,1,0,3,0,2,5,0,2,4,11281,74.0,170.0,United States,74.0,170.0,75.0,Orthodox,4.18,0.46,2.76,0.63,0.88,0.47,0.59,0.2,10.17,11798,67.0,171.0,United States,67.0,170.0,71.0,Orthodox,2.15,0.5,3.08,0.51,2.7,0.49,0.53,0.4,10.36,31.80287474,32.77754962,1,-0.974674880000002,4.0,-1.0,7.0,-3,-1,-2,1,0,-2,1,-2,-1,-0.2,-1,0,2
1106,9925,5,8/8/09,John Howard,Tamdan McCrory,win,loss,11798,16470,Decision,3,5:00,1,1,0,1,0,5,3,2,1,0,0,0,1,0,0,0,2,0,1,2,0,0,11798,67.0,171.0,United States,67.0,170.0,71.0,Orthodox,2.15,0.5,3.08,0.51,2.7,0.49,0.53,0.4,10.36,16470,76.0,170.0,United States,76.0,185.0,78.0,Switch,2.07,0.49,1.6,0.46,2.28,0.5,0.33,2.5,10.23,26.43942505,22.75701574,1,3.6824093100000006,-7.0,1.0,-9.0,-4,-2,-2,-2,0,0,-2,0,0,-2.1,0,0,0
2907,42187,4,4/4/15,Liz Carmouche,Lauren Murphy,win,loss,67007,66725,Decision,3,5:00,4,1,3,0,2,1,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,1,67007,66.0,135.0,United States,66.0,135.0,66.0,Orthodox,3.27,0.54,2.8,0.6,2.81,0.46,0.66,0.2,11.34,66725,68.0,134.0,United States,67.0,135.0,67.0,Orthodox,3.79,0.45,3.29,0.54,1.0,0.25,0.65,0.0,9.97,31.121149900000002,31.68788501,1,-0.5667351099999962,-1.0,1.0,-2.0,3,1,2,0,1,0,1,0,1,0.2,-1,-1,1
1286,12474,9,3/31/10,Nate Quarry,Jorge Rivera,loss,win,2383,2712,TKO,2,0:29,9,7,2,2,0,11,6,5,2,0,0,5,2,1,1,0,0,3,3,3,2,0,2383,72.0,185.0,United States,72.0,185.0,72.0,Open Stance,4.96,0.44,2.8,0.66,0.25,0.33,0.6,0.0,10.04,2712,73.0,185.0,United States,73.0,185.0,73.0,Orthodox,3.16,0.48,2.64,0.54,0.84,0.5,0.63,0.1,8.89,38.03422313,38.086242299999995,0,-0.05201916999999412,-1.0,0.0,-1.0,-2,1,-3,0,2,-1,-2,-1,0,-0.1,-1,2,3
3113,42235,11,10/3/15,Ryan Bader,Rashad Evans,win,loss,22858,10200,Decision,3,5:00,16,12,4,4,0,18,14,3,2,0,1,3,8,2,2,0,0,6,8,0,1,2,22858,74.0,205.0,United States,74.0,205.0,74.0,Orthodox,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,10.36,10200,71.0,205.0,United States,72.0,185.0,75.0,Orthodox,2.19,0.37,2.39,0.64,3.04,0.46,0.73,0.0,9.82,32.32306639,36.02190281,1,-3.6988364199999992,-1.0,0.0,3.0,-2,-2,1,1,-3,0,2,1,-2,0.4,2,-1,-4
2005,24185,4,12/29/12,Michael Johnson,Myles Jury,loss,win,68788,34236,Decision,3,5:00,6,4,2,3,0,1,1,0,1,0,0,2,2,1,0,1,1,0,0,0,0,0,68788,70.0,155.0,United States,70.0,155.0,73.0,Southpaw,3.77,0.35,3.74,0.58,0.58,0.53,0.79,0.1,10.44,34236,71.0,155.0,United States,70.0,145.0,73.0,Orthodox,2.29,0.35,1.49,0.71,2.61,0.52,0.0,0.4,8.37,26.57084189,24.1615332,0,2.4093086899999996,0.0,0.0,-1.0,5,3,2,-1,2,2,1,0,1,-0.30000000000000004,1,-2,2
2625,36731,2,6/28/14,Shane Howell,Ray Borg,loss,win,20906,84752,Technical,1,2:17,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20906,68.0,125.0,United States,68.0,125.0,69.0,Orthodox,1.27,0.32,2.55,0.42,0.0,0.0,0.2,0.0,4.76,84752,64.0,125.0,United States,64.0,125.0,63.0,Orthodox,1.51,0.48,1.71,0.53,3.16,0.47,0.6,1.8,10.26,30.58179329,20.89801506,0,9.683778230000001,6.0,0.0,4.0,-1,0,-1,0,0,0,0,0,-1,-1.8,1,0,0
2185,28023,12,4/13/13,Urijah Faber,Scott Jorgensen,win,loss,8847,16852,Submission,4,3:16,5,3,2,1,0,5,3,2,1,0,2,0,1,0,0,2,1,1,1,0,1,1,8847,66.0,135.0,United States,66.0,135.0,67.0,Orthodox,2.66,0.41,2.51,0.65,1.59,0.31,0.6,0.9,9.63,16852,65.0,135.0,United States,65.0,135.0,66.0,Orthodox,3.37,0.4,3.41,0.65,2.61,0.45,0.59,0.7,12.18,33.91649555,30.57084189,1,3.34565366,1.0,0.0,1.0,0,0,0,1,-1,0,0,-1,1,0.20000000000000007,-1,1,0
1283,12447,1,6/12/10,Mike Pyle,Jesse Lennox,win,loss,4577,17139,Technical,3,4:44,3,1,2,0,1,2,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,4577,73.0,170.0,United States,72.0,170.0,74.0,Orthodox,2.76,0.46,2.75,0.61,1.82,0.35,0.7,1.6,11.05,17139,69.0,170.0,United States,69.0,170.0,72.0,Orthodox,2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3,9.66,34.73237509,28.25735797,1,6.475017119999997,2.0,0.0,4.0,1,0,1,1,-1,0,1,1,-1,1.3,1,0,-2
1917,21045,2,9/22/12,Mitch Gagnon,Walel Watson,win,loss,37404,36403,Submission,1,1:09,1,0,1,0,1,3,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,2,37404,66.0,135.0,Canada,65.0,135.0,65.0,Southpaw,3.18,0.48,2.13,0.63,1.43,0.26,0.67,1.9,10.68,36403,71.0,134.0,United States,71.0,135.0,69.0,Orthodox,2.1,0.29,3.79,0.43,0.0,0.0,0.61,1.4,8.62,27.95071869,28.18617385,1,-0.23545516000000077,-4.0,1.0,-5.0,-2,-1,-1,0,-1,0,1,0,-2,0.5,2,-1,-1
2061,26135,5,1/19/13,Nik Lentz,Diego Nunes,win,loss,15058,25981,Decision,3,5:00,10,6,2,1,0,5,3,2,1,0,1,1,4,0,1,1,0,0,3,0,0,2,15058,68.0,145.0,United States,68.0,155.0,68.0,Orthodox,3.11,0.49,2.81,0.48,3.79,0.36,0.44,1.4,12.88,25981,66.0,145.0,Brazil,66.0,145.0,67.0,Orthodox,2.72,0.43,2.59,0.58,1.18,0.44,0.65,0.6,9.19,28.43531828,30.13826146,1,-1.7029431799999983,1.0,0.0,2.0,5,3,0,1,1,1,0,1,-1,0.7999999999999999,2,1,0
1815,20031,3,4/21/12,Efrain Escudero,Mac Danzig,loss,win,16555,3396,Decision,3,5:00,6,3,3,0,2,9,4,5,0,1,0,1,2,2,0,1,2,1,1,1,0,3,16555,69.0,155.0,United States,69.0,155.0,70.0,Orthodox,2.92,0.44,2.3,0.63,1.31,0.4,0.66,0.8,9.46,3396,68.0,155.0,United States,68.0,155.0,70.0,Orthodox,3.39,0.48,3.44,0.57,1.2,0.37,0.46,0.6,10.51,26.2642026,32.30116359,0,-6.036960990000001,0.0,0.0,1.0,-3,-1,-2,-2,0,1,1,0,-2,0.20000000000000007,3,-3,0
2608,36711,11,6/7/14,Rustam Khabilov,Benson Henderson,loss,win,45417,20548,Submission,4,1:16,3,3,0,3,0,9,8,1,1,0,0,2,1,0,0,0,0,0,8,1,0,0,45417,70.0,155.0,Russia,68.0,155.0,73.0,Orthodox,2.1,0.36,1.53,0.66,4.32,0.49,0.62,0.1,10.18,20548,69.0,155.0,United States,69.0,170.0,70.0,Southpaw,2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,10.08,27.58932238,30.55715264,0,-2.967830260000003,3.0,0.0,1.0,-6,-5,-1,0,2,-7,-1,0,0,-0.7000000000000001,-7,1,2
2712,37743,1,9/13/14,Johnny Bedford,Rani Yahya,loss,win,19717,10425,Submission,2,2:04,5,2,2,0,1,7,4,2,0,0,0,2,0,1,1,0,1,0,3,0,0,2,19717,69.0,135.0,United States,70.0,135.0,71.0,Orthodox,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0,10.48,10425,66.0,135.0,Brazil,66.0,135.0,67.0,Orthodox,1.48,0.37,1.56,0.49,3.15,0.34,0.23,2.0,9.62,31.68514716,29.76043806,0,1.9247091000000012,4.0,0.0,3.0,-2,-2,0,-1,2,-3,1,1,-2,-2.0,-1,-2,1
1039,9427,9,3/7/09,Gabriel Gonzaga,Shane Carwin,loss,win,7306,14013,TKO,1,1:09,8,6,2,2,0,2,2,0,2,0,2,4,0,0,2,0,0,2,0,0,0,0,7306,74.0,258.0,Brazil,74.0,242.0,76.0,Orthodox,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1,11.03,14013,74.0,254.0,United States,74.0,265.0,80.0,Orthodox,4.38,0.47,3.53,0.53,1.42,0.33,0.42,0.0,11.08,29.80424367,34.17111567,0,-4.366871999999997,-4.0,4.0,0.0,6,4,2,2,2,0,0,2,0,1.1,0,2,0
2474,34819,8,3/1/14,Dong Hyun Kim,John Hathaway,win,loss,16374,16704,KO,3,1:02,12,9,2,3,0,8,7,1,3,0,0,2,7,0,2,0,0,1,6,0,0,1,16374,73.0,170.0,South Korea,71.0,155.0,70.0,Orthodox,3.3,0.45,5.25,0.5,2.41,0.6,0.33,0.0,12.84,16704,74.0,170.0,England,73.0,170.0,75.0,Orthodox,3.4,0.4,1.8,0.62,2.61,0.43,0.6,0.9,10.76,32.28473648,26.66666667,1,5.618069809999998,-5.0,0.0,-1.0,4,2,1,0,1,1,0,2,-1,-0.9,2,0,-1
3017,42211,9,7/11/15,Dennis Bermudez,Jeremy Stephens,loss,win,58065,12179,TKO,3,0:32,9,7,2,0,1,20,10,10,0,2,2,1,4,2,0,0,0,5,5,2,1,7,58065,66.0,145.0,United States,66.0,145.0,66.0,Orthodox,4.34,0.46,2.81,0.57,4.17,0.43,0.91,1.3,14.99,12179,69.0,145.0,United States,68.0,145.0,71.0,Orthodox,2.79,0.42,2.58,0.6,1.34,0.36,0.64,0.5,9.23,28.57494867,29.12525667,0,-0.5503079999999976,-5.0,0.0,-3.0,-11,-3,-8,2,-4,-1,0,-1,-7,0.8,6,2,-3
2522,35507,9,9/27/14,Dustin Poirier,Conor McGregor,loss,win,50529,29688,TKO,1,1:46,10,8,2,3,0,3,3,0,3,0,3,2,3,0,0,1,0,2,1,0,0,0,50529,69.0,155.0,United States,69.0,155.0,72.0,Southpaw,4.97,0.49,3.38,0.57,1.79,0.4,0.68,1.3,13.58,29688,68.0,145.0,Ireland,69.0,170.0,74.0,Southpaw,5.82,0.47,4.55,0.57,0.92,0.62,0.73,0.0,13.68,25.68651608,26.20396988,0,-0.5174537999999984,-2.0,10.0,1.0,7,5,2,3,0,2,0,0,1,1.3,1,3,0
2592,36425,8,7/19/14,Ian McCall,Brad Pickett,win,loss,5001,11743,Decision,3,5:00,4,1,2,1,0,7,4,3,1,0,0,0,1,0,0,2,1,1,2,2,0,1,5001,65.0,125.0,United States,65.0,125.0,64.0,Orthodox,3.59,0.39,3.25,0.67,2.08,0.3,0.88,0.0,11.16,11743,66.0,125.0,England,66.0,135.0,68.0,Orthodox,3.02,0.31,4.63,0.55,2.47,0.44,0.58,0.4,12.4,30.03696099,35.816564,1,-5.779603009999999,-4.0,0.0,-1.0,-3,-3,-1,-1,-1,-1,-2,0,1,-0.4,-2,1,-1
2719,37745,5,9/20/14,Katsunori Kikuno,Sam Sicilia,win,loss,16806,53205,Submission,2,1:38,2,1,1,0,1,6,3,3,1,0,0,0,1,0,1,0,0,2,1,1,1,1,16806,68.0,145.0,Japan,68.0,145.0,66.0,Orthodox,2.64,0.4,2.47,0.61,1.88,0.75,0.76,0.8,10.31,53205,68.0,145.0,United States,68.0,145.0,67.0,Orthodox,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9,10.41,32.88980151,28.63244353,1,4.257357979999998,-1.0,0.0,0.0,-4,-2,-2,0,-2,0,-1,0,-1,-0.09999999999999998,1,1,-2
1794,19857,9,4/14/12,Diego Nunes,Dennis Siver,loss,win,25981,9817,Decision,3,5:00,3,2,1,1,0,13,8,5,0,1,0,0,2,0,0,1,2,3,3,2,1,2,25981,66.0,145.0,Brazil,66.0,145.0,67.0,Orthodox,2.72,0.43,2.59,0.58,1.18,0.44,0.65,0.6,9.19,9817,67.0,145.0,Germany,66.0,145.0,70.0,Orthodox,3.66,0.31,2.58,0.66,0.93,0.33,0.65,0.4,9.52,29.37166324,33.25119781,0,-3.8795345700000006,-3.0,0.0,-1.0,-10,-6,-4,-2,-3,-1,-2,-1,-1,0.19999999999999996,0,0,-2
1378,14430,9,11/13/10,Andre Winner,Dennis Siver,loss,win,17034,9817,Submission,1,3:37,4,2,2,0,1,9,5,4,1,0,0,1,1,0,0,2,1,3,1,1,1,2,17034,71.0,155.0,England,71.0,155.0,73.0,Orthodox,2.52,0.33,4.57,0.51,0.0,0.0,0.74,0.0,8.67,9817,67.0,145.0,Germany,66.0,145.0,70.0,Orthodox,3.66,0.31,2.58,0.66,0.93,0.33,0.65,0.4,9.52,29.01026694,31.8329911,0,-2.82272416,3.0,10.0,4.0,-5,-3,-2,-1,-2,0,-1,-1,0,-0.4,0,0,-1
