id,B_ID,First Name_B,Last Name_B,Full_Name_B,B_Weight,B_Age,Weight_B,Height_B,Reach_B,Stance_B,R_ID,First Name_R,Last Name_R,Full_Name_R,R_Age,R_Height,R_Weight,Height_R,Weight_R,Reach_R,R_Wrestling,R_BJJ,R_Boxing,R_Kickboxing,R_MuayTai,R_Freestyle,R_Sambo,R_Karate,R_Judo,Stance_R,winby,winner,Record_B,Wins_B,Losses_B,Draws_B,Record_R,Wins_R,Losses_R,Draws_R,BPrev,BStreak,B_Location,Event_ID,B_Wrestling,B_BJJ,B_Boxing,B_Kickboxing,B_MuayTai,B_Freestyle,B_Sambo,B_Karate,B_Judo,Full_Name__B,SLpM__B,StrAcc__B,SApM__B,StrDef__B,TDAvg__B,TDAcc__B,TDDef__B,SubAvg__B,Full_Name__R,SLpM__R,StrAcc__R,SApM__R,StrDef__R,TDAvg__R,TDAcc__R,TDDef__R,SubAvg__R
22,197,Pat,Healy,Pat Healy,70,35,155,72,74,Orthodox,514,Gleison,Tibau,Gleison Tibau,35,177,70,70,155,71,1,1,0,0,0,0,0,0,0,Southpaw,DEC,red,31-19-0,31,19,0,40-12-0,40,12,0,1,0,"Portland, OR USA",676,1,0,0,0,0,0,0,0,0,Pat Healy,2.57,0.36,2.57,0.5,3.08,0.37,0.55,1.1,Gleison Tibau,1.95,0.33,2.37,0.63,4.3,0.54,0.92,0.9
23,2089,Piotr,Hallmann,Piotr Hallmann,70,31,155,69,71,Orthodox,514,Gleison,Tibau,Gleison Tibau,35,177,70,70,155,71,1,1,0,0,0,0,0,0,0,Southpaw,DEC,red,15-5-0,15,5,0,40-12-0,40,12,0,1,1,Gdynia Poland,685,0,0,0,0,0,1,0,0,0,Piotr Hallmann,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4,Gleison Tibau,1.95,0.33,2.37,0.63,4.3,0.54,0.92,0.9
24,2013,Abel,Trujillo,Abel Trujillo,70,35,155,68,70,Orthodox,1675,John,Makdessi,John Makdessi,33,172,70,68,155,68,0,0,0,1,0,0,0,0,0,Orthodox,DEC,red,15-7-0,15,7,0,14-6-0,14,6,0,6,0,"Boca Raton, Florida United States",848,1,0,0,0,0,0,0,0,0,Abel Trujillo,2.77,0.42,2.17,0.6,2.38,0.51,0.4,0.5,John Makdessi,5.39,0.51,3.95,0.71,0,0,0.87,0
25,2784,Lando,Vannata,Lando Vannata,70,26,155,69,71,Orthodox,1675,John,Makdessi,John Makdessi,33,172,70,68,155,68,0,0,0,1,0,0,0,0,0,Orthodox,KO/TKO,blue,9/2/00,9,2,0,14-6-0,14,6,0,1,0,"Albuquerque, New Mexico United States",800,1,0,0,0,0,0,0,0,0,Lando Vannata,5.24,0.44,6.95,0.48,0.62,0.33,0.71,0,John Makdessi,5.39,0.51,3.95,0.71,0,0,0.87,0
26,2101,Alan,Patrick,Alan Patrick,70,35,155,71,74,Southpaw,1675,John,Makdessi,John Makdessi,33,172,70,68,155,68,0,0,0,1,0,0,0,0,0,Orthodox,DEC,blue,14-1-0,14,1,0,14-6-0,14,6,0,0,0,Rio de Janeiro Brazil,646,0,1,0,0,0,0,0,0,0,Alan Patrick,1.9,0.4,1.95,0.53,3.52,0.37,0.75,0.5,John Makdessi,5.39,0.51,3.95,0.71,0,0,0.87,0
27,2746,Mehdi,Baghdad,Mehdi Baghdad,70,33,155,73,75,Orthodox,1675,John,Makdessi,John Makdessi,33,172,70,68,155,68,0,0,0,1,0,0,0,0,0,Orthodox,DEC,red,11/4/00,11,4,0,14-6-0,14,6,0,1,0,"Los Angeles, California USA",780,0,0,0,0,1,0,0,0,0,Mehdi Baghdad,3.13,0.3,4.56,0.46,0,0,0.33,0,John Makdessi,5.39,0.51,3.95,0.71,0,0,0.87,0
28,875,Ross,Pearson,Ross Pearson,70,34,155,68,69,Orthodox,1675,John,Makdessi,John Makdessi,33,172,70,68,155,68,0,0,0,1,0,0,0,0,0,Orthodox,DEC,red,21-13-0,21,13,0,14-6-0,14,6,0,13,1,Sunderland England,876,0,0,0,0,0,1,0,0,0,Ross Pearson,3.54,0.41,3.57,0.64,0.86,0.38,0.75,0,John Makdessi,5.39,0.51,3.95,0.71,0,0,0.87,0
29,2507,Shane,Campbell,Shane Campbell,70,31,155,72,71,Orthodox,1675,John,Makdessi,John Makdessi,33,172,70,68,155,68,0,0,0,1,0,0,0,0,0,Orthodox,KO/TKO,red,12/6/00,12,6,0,14-6-0,14,6,0,0,0,"Kelowna, BC Canada",711,0,0,1,1,0,0,0,0,0,Shane Campbell,3.99,0.59,3.19,0.55,1.36,0.28,0.82,0,John Makdessi,5.39,0.51,3.95,0.71,0,0,0.87,0
30,1481,Yancy,Medeiros,Yancy Medeiros,77,31,155,70,75,Orthodox,1675,John,Makdessi,John Makdessi,33,172,70,68,155,68,0,0,0,1,0,0,0,0,0,Orthodox,DEC,blue,13-4-0,13,4,0,14-6-0,14,6,0,4,0,"Makaha, Hawaii United States",753,1,0,0,0,0,0,0,0,0,Yancy Medeiros,4.01,0.34,4.88,0.49,0,0,0.86,0.8,John Makdessi,5.39,0.51,3.95,0.71,0,0,0.87,0
31,1340,Drew,Dober,Drew Dober,70,29,155,68,70,Southpaw,2558,Scott,Holtzman,Scott Holtzman,35,175,70,69,155,69,0,0,0,0,0,1,0,0,0,Orthodox,DEC,blue,17-8-0,17,8,0,9/2/00,9,2,0,4,0,"Denver, Colorado United States",754,0,0,0,0,1,0,0,0,0,Drew Dober,3.33,0.33,3.99,0.55,1.15,0.16,0.66,0.2,Scott Holtzman,3.94,0.46,3.16,0.59,2.34,0.6,0.6,0.5
