eid,mid,event_name,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL
11,10,UFC 5 - The Return of the Beast,4/7/95,Dan Severn,Dave Beneteau,win,loss,52,56,Submission,1,3:01,3,2,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
11,9,UFC 5 - The Return of the Beast,4/7/95,Royce Gracie,Ken Shamrock,draw,draw,19,4,Draw,1,36:00:00,11,11,0,11,0,4,3,1,3,0,11,0,0,0,0,0,3,0,0,1,0,0
11,8,UFC 5 - The Return of the Beast,4/7/95,Dan Severn,Oleg Taktarov,win,loss,52,47,TKO,1,4:21,4,3,1,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
11,7,UFC 5 - The Return of the Beast,4/7/95,Todd Medina,Dave Beneteau,loss,win,61,56,TKO,1,2:12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11,6,UFC 5 - The Return of the Beast,4/7/95,Dan Severn,Joe Charles,win,loss,52,46,Submission,1,1:38,5,4,1,4,0,1,1,0,1,0,3,1,0,1,0,0,1,0,0,0,0,0
11,5,UFC 5 - The Return of the Beast,4/7/95,Oleg Taktarov,Ernie Verdicia,win,loss,47,63,Submission,1,2:23,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,4,UFC 5 - The Return of the Beast,4/7/95,Todd Medina,Larry Cureton,win,loss,61,62,TKO,1,2:55,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,3,UFC 5 - The Return of the Beast,4/7/95,Andy Anderson,Jon Hess,loss,win,60,59,TKO,1,1:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,UFC 5 - The Return of the Beast,4/7/95,John Dowdy,Guy Mezger,loss,win,58,14,TKO,1,2:02,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11,1,UFC 5 - The Return of the Beast,4/7/95,Dave Beneteau,Asbel Cancio,win,loss,56,57,TKO,1,0:21,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12,10,UFC 6 - Clash of the Titans,7/14/95,Oleg Taktarov,David Abbott,win,loss,47,110,Submission,1,17:45,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,9,UFC 6 - Clash of the Titans,7/14/95,Ken Shamrock,Dan Severn,win,loss,4,52,Submission,1,2:14,5,3,1,0,0,6,5,1,5,0,3,0,0,1,0,0,4,1,0,1,0,0
12,8,UFC 6 - Clash of the Titans,7/14/95,Oleg Taktarov,Anthony Macias,win,loss,47,53,Submission,1,0:09,3,2,1,2,0,1,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0
12,7,UFC 6 - Clash of the Titans,7/14/95,Paul Varelans,David Abbott,loss,win,112,110,TKO,1,1:53,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,6,UFC 6 - Clash of the Titans,7/14/95,Dave Beneteau,Oleg Taktarov,loss,win,56,47,Submission,1,0:57,3,2,1,2,0,4,3,1,3,0,0,2,0,1,0,0,3,0,0,0,1,0
12,5,UFC 6 - Clash of the Titans,7/14/95,Rudyard Moncayo,Patrick Smith,loss,win,114,21,Submission,1,1:08,0,0,0,0,0,5,3,2,3,0,0,0,0,0,0,0,2,1,0,2,0,0
12,4,UFC 6 - Clash of the Titans,7/14/95,Paul Varelans,Cal Worsham,win,loss,112,113,KO,1,1:02,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,3,UFC 6 - Clash of the Titans,7/14/95,David Abbott,John Matua,win,loss,110,111,KO,1,0:20,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12,2,UFC 6 - Clash of the Titans,7/14/95,He-Man Ali Gipson,Anthony Macias,loss,win,109,53,Submission,1,3:06,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0
12,1,UFC 6 - Clash of the Titans,7/14/95,Joel Sutton,Jack McLaughlin,win,loss,107,885,Submission,1,2:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11,UFC 7 - The Brawl in Buffalo,9/8/95,Marco Ruas,Paul Varelans,win,loss,120,112,TKO,1,13:17,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
13,10,UFC 7 - The Brawl in Buffalo,9/8/95,Oleg Taktarov,Ken Shamrock,draw,draw,47,4,Draw,1,33:00:00,5,4,1,4,0,6,4,1,1,0,4,0,0,0,1,0,4,0,0,1,0,0
13,9,UFC 7 - The Brawl in Buffalo,9/8/95,Remco Pardoel,Marco Ruas,loss,win,33,120,Submission,1,12:27,3,2,1,2,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
13,8,UFC 7 - The Brawl in Buffalo,9/8/95,Paul Varelans,Mark Hall,win,loss,112,118,Submission,1,1:04,3,1,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
13,7,UFC 7 - The Brawl in Buffalo,9/8/95,Marco Ruas,Larry Cureton,win,loss,120,62,Submission,1,3:23,2,2,0,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
